"date","site_name","GPP","ER","depth","temp.water","day.length","discharge","shortwave","velocity","discharge_log","depth_log","velocity_log","year"
"2015-08-10","nwis_11463980",2.40911541309118,-2.7137541355218,0.361605929611668,23.8052083333333,13.5,1.865372296125,300.10925,0.391254816078385,0.623460655760973,-1.01720025233621,-0.938396227738014,2015
"2015-08-11","nwis_11463980",2.21278580377205,-2.38740684705328,0.357840184947921,23.3208333333333,13.5,1.813458076625,298.879958333333,0.386643882586048,0.595235562090097,-1.02766880301238,-0.950251209632372,2015
"2015-08-12","nwis_11463980",2.45724295944003,-2.69368754785179,0.359114715466046,23.2958333333333,13.5,1.83086113884375,315.758541666667,0.388202579321667,0.604786423845263,-1.02411339984828,-0.946227963957948,2015
"2015-08-13","nwis_11463980",2.50248937150877,-2.67286146341728,0.360115505751036,23.8395833333333,13.5,1.8447245951875,314.4,0.38942874617538,0.612329995449397,-1.02133044968468,-0.943074367054859,2015
"2015-08-14","nwis_11463980",2.44953773440776,-2.58907447325118,0.354914272578945,23.8291666666667,13.25,1.77363751053125,314.91425,0.383062914062107,0.573032528471179,-1.0358790043622,-0.959556036811055,2015
"2015-08-15","nwis_11463980",2.6558503278784,-2.6741070869409,0.355609738987272,24.190625,13.25,1.78307645953125,313.0205,0.383913636697325,0.578340220480503,-1.03392138823915,-0.957337656123255,2015
"2015-08-16","nwis_11463980",2.52738104380224,-2.66057047095399,0.353399170810816,24.50625,13.25,1.75328477675,285.523583333333,0.381211067915275,0.561491043829205,-1.04015706541843,-0.964402073218347,2015
"2015-08-17","nwis_11463980",2.52146485018994,-2.67613194356205,0.353309943713306,24.3416666666667,13,1.752104908125,317.895541666667,0.381102143050274,0.560817869788301,-1.04040957977307,-0.964687847790204,2015
"2015-08-18","nwis_11463980",2.46209752622337,-2.56506189283068,0.35249325595774,23.6354166666667,13,1.74119112334375,300.822541666667,0.380104345737539,0.5545694326723,-1.04272378894761,-0.967309469909595,2015
"2015-08-19","nwis_11463980",2.36495786094468,-2.50524036925047,0.351130956382882,22.8479166666667,13,1.7231981268125,308.87075,0.378441469048838,0.544181940379296,-1.04659602999102,-0.971693857299401,2015
"2015-08-20","nwis_11463980",2.27060809382028,-2.35180575454351,0.349743042954212,22.46875,13,1.704910163125,304.07075,0.376747640336145,0.533512419098033,-1.05055655711627,-0.976179704703786,2015
"2015-08-21","nwis_11463980",2.28784706687301,-2.43983850660784,0.346427041640884,22.6083333333333,13,1.66154999115625,294.816208333333,0.372703170394959,0.507750896326324,-1.0600830405576,-0.986972965972979,2015
"2015-08-22","nwis_11463980",2.23454812904142,-2.43070854611515,0.347195188261663,22.5520833333333,13,1.67157887446875,301.314125,0.373639952840118,0.513768613601229,-1.05786815498534,-0.984462638194931,2015
"2015-08-23","nwis_11463980",2.27410149041835,-2.46519786873097,0.343436383172812,22.721875,13,1.62320426084375,287.570166916667,0.369061111753746,0.484402134491369,-1.06875338629758,-0.996793034145382,2015
"2015-08-24","nwis_11463980",2.22586634982786,-2.4250266844365,0.335075184935524,22.8291666666667,13,1.5190808546875,295.997208333333,0.358902050959375,0.418105451089392,-1.09340033969495,-1.02470576627434,2015
"2015-08-25","nwis_11463980",2.24380119689106,-2.39911546906498,0.327823946345208,22.6989583333333,13,1.4317705764375,275.948666666667,0.350114776650907,0.358911843718157,-1.11527856364681,-1.04949424496874,2015
"2015-08-26","nwis_11463980",2.30774469847387,-2.43180690458813,0.327021916687132,23.15625,13,1.4223316274375,279.721625,0.349144580354309,0.352297516172726,-1.11772808682281,-1.0522691722098,2015
"2015-08-27","nwis_11463980",2.20720066850531,-2.36070541740617,0.323101574679728,23.6197916666667,13,1.376906685375,287.699,0.344408020327972,0.319839450838057,-1.129788532503,-1.06592821887169,2015
"2015-08-28","nwis_11463980",2.45877946499715,-2.63617610951674,0.32461783812395,23.9447916666667,12.75,1.39430974759375,260.351041666667,0.346238613360371,0.332399488224847,-1.12510667124044,-1.06062710762315,2015
"2015-08-29","nwis_11463980",2.34865169226616,-2.54193228565558,0.329272616500517,24.1697916666667,12.75,1.4488786715,243.686333333333,0.351867672974521,0.370789927258589,-1.11086924975198,-1.04450010311274,2015
"2015-08-30","nwis_11463980",2.34369702948461,-2.47547078108821,0.330091052409314,23.165625,12.75,1.45861258765625,281.923083333333,0.352858531744404,0.377485701488423,-1.10838674618768,-1.04168806230543,2015
"2015-08-31","nwis_11463980",2.22507526327462,-2.35232926781397,0.331815234085764,23.1822916666667,12.75,1.47926028859375,288.455791666667,0.354947074674736,0.391542157827646,-1.10317698882058,-1.03578658604434,2015
"2015-09-02","nwis_11463980",2.32763321650409,-2.42202046351392,0.329097183536416,22.85,12.75,1.44681390140625,282.536708333333,0.351655454455177,0.369363829431074,-1.11140218114781,-1.0451034053142,2015
